brand,city,model_year,age_years,mileage_km,engine_cc,condition_score,price
Toyota,Lahore,2019,7,93351,1500,5.58,3088353
Toyota,Islamabad,2014,12,106552,1500,3.39,2497161
Suzuki,Karachi,2017,9,127730,660,3.3,478942
Toyota,Multan,2014,12,159139,1800,1.25,2250940
Hyundai,Islamabad,2010,16,191368,1500,1.12,982274
Toyota,Islamabad,2020,6,91753,1800,4.1,3239857
KIA,Islamabad,2020,6,57120,1800,6.87,2810545
KIA,Lahore,2015,11,121187,1300,4.15,1718683
KIA,Lahore,2016,10,64008,1300,2.19,2137260
KIA,Karachi,2014,12,168678,1300,2.22,1302010
Hyundai,Sahiwal,2008,18,230317,1300,1,250000
Honda,Sahiwal,2010,16,132005,1800,1.3,1655023
Changan,Sahiwal,2020,6,54617,1300,6.28,2016828
Suzuki,Multan,2024,2,23366,660,9.58,2091195
KIA,Multan,2008,18,254682,1300,1,250000
Toyota,Karachi,2013,13,141970,1300,2.01,1937351
KIA,Multan,2013,13,131640,1800,1.44,1757239
Toyota,Sahiwal,2019,7,69177,1300,7.33,2836200
Changan,Sahiwal,2020,6,55184,1800,6.53,2128318
Changan,Islamabad,2020,6,40021,1500,8.73,2262325
Changan,Multan,2022,4,29520,1800,9.4,2696583
Toyota,Lahore,2023,3,19282,1800,7.05,3784612
KIA,Lahore,2018,8,99913,1300,4.18,2078214
Changan,Islamabad,2012,14,165097,1500,1,527012
Hyundai,Islamabad,2011,15,149779,1500,1,755658
Toyota,Islamabad,2010,16,281970,1500,1,1058009
Toyota,Lahore,2022,4,39704,1500,7.79,3697420
KIA,Sahiwal,2016,10,150230,1800,3.59,2115931
Toyota,Islamabad,2024,2,31283,1500,9.71,3807755
Toyota,Karachi,2021,5,33673,1800,8.18,3649797
Changan,Islamabad,2022,4,53305,1800,6.82,1971737
KIA,Faisalabad,2008,18,194232,1800,1,675257
Changan,Islamabad,2010,16,169373,1500,1,250000
Changan,Lahore,2023,3,44353,1300,8.18,2086758
KIA,Multan,2018,8,79474,1300,5.07,2336623
Suzuki,Islamabad,2019,7,81389,1000,4.44,861119
Changan,Multan,2017,9,103517,1300,4.81,1312586
Hyundai,Faisalabad,2023,3,37642,1300,7.7,3174015
Hyundai,Karachi,2015,11,103399,1800,3.23,1853439
Toyota,Multan,2013,13,176673,1800,1,2098693
Hyundai,Sahiwal,2019,7,104864,1500,4.74,2298221
Toyota,Islamabad,2015,11,143081,1500,2.28,2394928
Suzuki,Faisalabad,2011,15,166031,660,1,250000
KIA,Faisalabad,2015,11,112135,1800,3.26,1889093
KIA,Multan,2012,14,142944,1500,2.09,1467730
KIA,Karachi,2016,10,182998,1500,2.14,1300828
Hyundai,Lahore,2011,15,218058,1500,1,702321
Suzuki,Islamabad,2024,2,19952,1000,8.22,2080436
Hyundai,Faisalabad,2016,10,116658,1500,2.56,1951997
Hyundai,Karachi,2008,18,202158,1500,1,558978
Suzuki,Sahiwal,2020,6,84375,660,5.3,1328225
Suzuki,Faisalabad,2023,3,51578,1300,7.25,1787490
Suzuki,Karachi,2020,6,93631,1300,5.73,1474588
Suzuki,Lahore,2021,5,39872,1000,6.85,1901503
KIA,Lahore,2010,16,196582,1800,1,954704
Honda,Faisalabad,2013,13,108229,1800,2.3,1901606
Honda,Faisalabad,2012,14,127111,1800,2.19,1696838
Suzuki,Multan,2022,4,58484,1000,7.68,1881949
Honda,Islamabad,2009,17,168097,1500,1,1554069
Honda,Karachi,2017,9,85968,1800,5.04,2468563
Suzuki,Faisalabad,2020,6,74266,1300,5.91,1281979
Honda,Islamabad,2012,14,191064,1500,1,1421826
Hyundai,Multan,2008,18,168165,1300,1,487925
Toyota,Islamabad,2008,18,63506,1800,2.2,2279831
Toyota,Faisalabad,2022,4,34664,1300,6.98,3671094
Suzuki,Lahore,2024,2,36468,1300,8.42,2124531
KIA,Karachi,2018,8,100749,1300,4.98,2331068
Suzuki,Karachi,2024,2,31923,660,8.77,2034487
KIA,Lahore,2020,6,48020,1300,5.67,2761717
Toyota,Faisalabad,2008,18,145826,1500,1,1231588
Suzuki,Karachi,2009,17,230891,660,1,250000
Changan,Faisalabad,2016,10,123427,1300,3.55,1327525
Hyundai,Multan,2010,16,198671,1300,1,356658
Honda,Faisalabad,2008,18,259375,1800,1,458884
KIA,Islamabad,2023,3,46437,1300,7.88,3220783
Changan,Lahore,2013,13,161933,1800,2.04,685893
Honda,Faisalabad,2024,2,22043,1300,10,3739416
Honda,Multan,2012,14,183314,1300,1,1165220
Suzuki,Sahiwal,2012,14,193909,1000,1,250000
Honda,Lahore,2013,13,184691,1800,1,1508889
Hyundai,Karachi,2010,16,242797,1300,1,437766
Changan,Islamabad,2012,14,148224,1800,2.81,750979
Honda,Karachi,2012,14,186513,1800,1,1427245
Suzuki,Multan,2017,9,91173,1000,3.86,991460
Hyundai,Multan,2017,9,96531,1500,4.36,2063339
Toyota,Karachi,2024,2,28958,1500,10,3817724
Changan,Lahore,2021,5,62432,1500,7.31,2280750
Honda,Karachi,2016,10,136289,1500,2.37,2149738
Suzuki,Faisalabad,2021,5,62140,1000,7.86,1275553
Toyota,Karachi,2008,18,206748,1500,1,1031379
Toyota,Islamabad,2020,6,67872,1500,7.91,3475617
KIA,Islamabad,2020,6,95338,1300,6.2,2252004
Hyundai,Sahiwal,2011,15,122668,1800,3.09,1519295
Honda,Islamabad,2008,18,217741,1500,1,742370
Suzuki,Karachi,2024,2,21010,1000,8.91,2351394
KIA,Islamabad,2015,11,162022,1800,1.99,1657386
Hyundai,Lahore,2009,17,156048,1300,1,655405
KIA,Islamabad,2015,11,181271,1800,1,1548588
Changan,Faisalabad,2014,12,155191,1800,2.33,817331
Hyundai,Lahore,2009,17,212206,1500,1,365138
Hyundai,Sahiwal,2010,16,180084,1800,1,1192247
Honda,Faisalabad,2019,7,93380,1800,4.81,2596565
Hyundai,Karachi,2008,18,224720,1500,1,250000
KIA,Karachi,2019,7,110737,1500,3.68,2539859
Hyundai,Karachi,2012,14,114301,1500,3.48,1355661
Honda,Faisalabad,2024,2,29617,1500,8.62,3592392
Honda,Faisalabad,2023,3,42474,1800,8.47,3500119
Changan,Faisalabad,2022,4,32268,1800,8.4,2436926
KIA,Lahore,2022,4,47958,1300,8.57,2970056
Toyota,Multan,2012,14,153138,1300,1,1601652
Toyota,Lahore,2021,5,57753,1800,7.36,3547767
Hyundai,Karachi,2009,17,122860,1300,1,902539
Changan,Multan,2018,8,114624,1800,6.02,1682567
Suzuki,Islamabad,2014,12,131996,660,1.83,271730
Hyundai,Karachi,2013,13,153326,1500,2.55,1123075
Changan,Sahiwal,2009,17,220551,1300,1,250000
KIA,Lahore,2013,13,141795,1500,2.14,1452290
KIA,Faisalabad,2009,17,207740,1500,1,564812
KIA,Lahore,2022,4,22264,1500,9.12,3424659
KIA,Faisalabad,2009,17,233367,1500,1,541598
KIA,Multan,2013,13,192411,1300,1,1044404
Changan,Sahiwal,2008,18,145192,1800,1.05,250000
Changan,Multan,2022,4,42414,1500,8.37,2216070
Honda,Sahiwal,2017,9,86321,1300,5.16,2766856
Toyota,Lahore,2024,2,13424,1500,8.06,4062035
KIA,Faisalabad,2012,14,184436,1300,1,899717
Suzuki,Multan,2011,15,218767,660,1,250000
Changan,Sahiwal,2017,9,126188,1300,4.06,1344720
Suzuki,Karachi,2024,2,24680,1300,7.6,2191180
Suzuki,Karachi,2017,9,100357,660,2.97,910605
Suzuki,Multan,2024,2,22122,660,9.77,1844521
Honda,Faisalabad,2012,14,154510,1800,1.85,1328317
Changan,Multan,2009,17,231765,1800,1,250000
Suzuki,Lahore,2013,13,121279,660,2.31,250000
KIA,Sahiwal,2009,17,273581,1800,1,250000
Hyundai,Lahore,2020,6,83624,1500,6.54,2376430
Suzuki,Karachi,2018,8,93878,1000,4.3,837391
Honda,Sahiwal,2018,8,80822,1800,5.44,2544023
Changan,Multan,2023,3,37934,1800,6.01,2331171
Honda,Lahore,2018,8,91927,1300,5.68,2635161
Suzuki,Islamabad,2022,4,45448,1300,6.86,1679164
Changan,Faisalabad,2023,3,44157,1300,6.75,2177398
Hyundai,Faisalabad,2018,8,87248,1500,4.75,1953574
Suzuki,Islamabad,2023,3,25435,1300,7.84,2271208
Honda,Karachi,2015,11,130400,1300,3.75,2032771
Toyota,Sahiwal,2011,15,194613,1300,1,1038466
KIA,Faisalabad,2015,11,129564,1500,4,1695320
Honda,Islamabad,2011,15,208313,1800,1,1259398
Changan,Multan,2010,16,215412,1500,1,250000
Suzuki,Islamabad,2010,16,212374,660,1,250000
KIA,Karachi,2012,14,186396,1300,1.46,1016583
Suzuki,Karachi,2017,9,88519,1300,3.71,707744
Changan,Lahore,2013,13,167113,1300,1.36,602382
Suzuki,Faisalabad,2008,18,267332,1300,1,250000
Toyota,Lahore,2012,14,180737,1500,1.7,1683863
KIA,Islamabad,2016,10,96007,1800,5.3,2249306
KIA,Sahiwal,2019,7,82024,1800,5.5,2434519
Changan,Sahiwal,2021,5,60486,1300,5.7,2059908
Toyota,Karachi,2009,17,167196,1300,1,1430791
Honda,Sahiwal,2024,2,15689,1800,7.58,3705038
Suzuki,Sahiwal,2021,5,63889,660,7.95,1553477
Hyundai,Sahiwal,2020,6,58257,1300,6.07,2336959
Suzuki,Islamabad,2016,10,119573,660,3.49,479663
Suzuki,Sahiwal,2022,4,32594,1300,7.24,1927969
Honda,Multan,2022,4,47992,1300,6.68,2948961
Suzuki,Sahiwal,2018,8,74494,1300,5.93,1251573
Toyota,Sahiwal,2023,3,38335,1300,7.86,3814626
Toyota,Lahore,2024,2,23851,1500,8.74,3930919
KIA,Islamabad,2011,15,179485,1300,1,997975
Changan,Karachi,2008,18,211725,1300,1,250000
Hyundai,Lahore,2015,11,113559,1800,4.08,1773564
Suzuki,Faisalabad,2024,2,35814,1300,8.24,2079949
Suzuki,Islamabad,2010,16,169145,660,1.19,250000
Honda,Multan,2022,4,62658,1500,6.95,3189820
Changan,Islamabad,2022,4,32468,1300,8.41,2321450
Toyota,Faisalabad,2021,5,59100,1300,5.47,3379232
Hyundai,Faisalabad,2021,5,68821,1500,6.81,2744081
KIA,Faisalabad,2009,17,196307,1800,1,990841
Toyota,Karachi,2020,6,75509,1300,6.14,3066175
Changan,Sahiwal,2021,5,57108,1800,6.91,1897296
KIA,Islamabad,2014,12,133641,1800,2.56,1871782
Honda,Sahiwal,2010,16,284039,1500,1,610434
Honda,Sahiwal,2022,4,46198,1500,6.99,3197237
Suzuki,Multan,2021,5,64427,1300,7.09,1720460
Changan,Faisalabad,2018,8,128923,1300,4.96,1077689
Hyundai,Karachi,2022,4,42402,1800,6.41,3136600
KIA,Multan,2020,6,70317,1300,5.52,2598760
Toyota,Lahore,2013,13,152339,1300,1.05,1723655
Changan,Karachi,2010,16,201870,1500,1,250000
Changan,Sahiwal,2022,4,44732,1300,7.1,2210962
Honda,Karachi,2012,14,143146,1300,2.35,1563237
Suzuki,Faisalabad,2017,9,114294,1300,5.15,907506
Suzuki,Lahore,2014,12,121179,1000,2.86,342707
KIA,Faisalabad,2024,2,28531,1300,8.33,3401942
Honda,Lahore,2014,12,158554,1300,2.48,1659056
Changan,Multan,2019,7,69033,1500,3.93,1665988
Hyundai,Sahiwal,2024,2,21485,1800,7.92,3228110
Honda,Lahore,2020,6,73891,1500,4.2,2925727
KIA,Lahore,2011,15,160105,1500,1,1258021
KIA,Lahore,2017,9,157619,1300,2.3,1734694
Honda,Karachi,2010,16,201145,1300,1,1121758
KIA,Multan,2016,10,126278,1800,1.13,1633502
Honda,Karachi,2020,6,82591,1300,5.5,2689873
Toyota,Sahiwal,2022,4,49191,1300,7.87,3376038
Honda,Lahore,2011,15,221123,1500,1,1351703
Honda,Multan,2022,4,45909,1300,8.62,3406395
KIA,Multan,2009,17,244087,1800,1,573620
KIA,Islamabad,2022,4,42878,1500,7.83,3263579
Suzuki,Sahiwal,2015,11,171238,1300,1,380016
Suzuki,Multan,2015,11,139492,1000,1.87,513778
Toyota,Lahore,2024,2,32360,1300,7.06,3936686
Suzuki,Lahore,2019,7,83343,1000,5.92,1167541
Honda,Multan,2017,9,108761,1500,4.41,2288630
KIA,Karachi,2016,10,86980,1300,4.58,2006845
Suzuki,Sahiwal,2012,14,149950,660,1,250000
Suzuki,Lahore,2013,13,174305,1300,1,250000
Toyota,Multan,2009,17,254553,1800,1,959909
Changan,Lahore,2020,6,118063,1300,4.41,1447543
Toyota,Multan,2013,13,152700,1300,1,2061329
Honda,Sahiwal,2012,14,135032,1300,1.32,1715407
KIA,Multan,2008,18,246220,1500,1,667237
Toyota,Islamabad,2013,13,119762,1500,1.76,2211281
Suzuki,Multan,2013,13,178745,1000,1,250000
KIA,Multan,2023,3,27366,1300,8.62,3296987
KIA,Sahiwal,2011,15,187908,1800,1.3,961394
Suzuki,Multan,2018,8,123013,660,4.09,514449
Toyota,Sahiwal,2016,10,119759,1500,3.68,2554908
Suzuki,Islamabad,2010,16,235863,1000,1,250000
Changan,Sahiwal,2015,11,153171,1300,2.61,817251
KIA,Lahore,2012,14,93595,1300,2.08,1819057
Hyundai,Sahiwal,2011,15,147193,1500,2.45,1014864
Hyundai,Islamabad,2013,13,107054,1500,2.17,1825959
Honda,Faisalabad,2009,17,295916,1500,1,250000
Suzuki,Multan,2018,8,99833,660,5.13,1032665
Suzuki,Sahiwal,2011,15,249465,1000,1,250000
Honda,Multan,2022,4,35497,1500,7.43,3553149
Honda,Karachi,2013,13,136426,1800,2.08,1667401
Honda,Lahore,2024,2,21907,1300,8.86,3978966
KIA,Lahore,2013,13,162415,1800,1.63,1433924
Changan,Karachi,2009,17,231559,1800,1,250000
Suzuki,Karachi,2022,4,38744,1000,7.63,2029227
KIA,Sahiwal,2018,8,127705,1300,4.29,1984713
Honda,Karachi,2015,11,151229,1500,2.33,1969816
Suzuki,Faisalabad,2020,6,76697,660,5.17,1088848
KIA,Multan,2019,7,74419,1800,5.72,2901648
Changan,Multan,2012,14,176600,1300,1.28,250000
KIA,Islamabad,2013,13,143948,1500,2.74,1531621
Changan,Karachi,2011,15,119596,1500,2.19,715937
Honda,Karachi,2008,18,217535,1500,1,882432
Changan,Faisalabad,2024,2,22219,1300,9.08,2935144
Suzuki,Lahore,2019,7,96776,1300,5.82,1144416
Honda,Lahore,2022,4,21977,1800,8.8,3770970
Suzuki,Multan,2008,18,227602,660,1,250000
Hyundai,Multan,2021,5,46513,1500,7.67,2852501
Toyota,Sahiwal,2013,13,167581,1800,1,1821994
Changan,Faisalabad,2012,14,183706,1500,1,250000
Toyota,Islamabad,2018,8,94292,1300,5.3,3098911
Toyota,Islamabad,2011,15,211599,1500,1,1333741
Changan,Faisalabad,2020,6,53088,1800,7.23,2020442
Honda,Islamabad,2018,8,123898,1800,4.95,2271016
Hyundai,Lahore,2010,16,170839,1500,1,674487
Suzuki,Islamabad,2008,18,140040,660,1,250000
KIA,Islamabad,2013,13,145871,1500,1.58,1626787
Suzuki,Faisalabad,2017,9,61023,660,5.54,1141181
KIA,Faisalabad,2012,14,175562,1500,1,1196482
Suzuki,Islamabad,2017,9,111131,1300,5.14,731868
Changan,Karachi,2019,7,106709,1300,4.92,1406948
Hyundai,Faisalabad,2009,17,227552,1300,1,250000
KIA,Sahiwal,2020,6,54102,1300,4.52,2792256
Honda,Sahiwal,2015,11,110299,1800,3.36,2063231
Suzuki,Lahore,2009,17,227649,1000,1,250000
Suzuki,Islamabad,2008,18,263158,1300,1,250000
KIA,Karachi,2012,14,212541,1300,1,644281
Honda,Lahore,2016,10,148844,1500,2.76,1974252
Honda,Islamabad,2024,2,13776,1800,8.49,3800671
Changan,Faisalabad,2016,10,128239,1300,3.75,1248256
Changan,Sahiwal,2018,8,128505,1300,3.39,1111527
Changan,Multan,2022,4,44511,1800,7.61,2222491
Changan,Karachi,2013,13,157141,1800,2.47,669667
Changan,Multan,2010,16,176433,1800,1,250000
Changan,Sahiwal,2024,2,26209,1300,8.93,2615804
Hyundai,Multan,2012,14,172423,1800,1.02,807417
Honda,Faisalabad,2019,7,67769,1300,5.86,2697074
Changan,Islamabad,2021,5,55537,1800,6.81,2089840
Honda,Faisalabad,2018,8,73247,1300,4.91,2712148
Honda,Multan,2016,10,111937,1300,3.82,2049692
Toyota,Faisalabad,2009,17,212908,1500,1,922136
Hyundai,Sahiwal,2019,7,77515,1800,6.85,2488600
Changan,Karachi,2010,16,198657,1800,1,250000
Suzuki,Faisalabad,2010,16,189981,660,1,250000
KIA,Sahiwal,2008,18,242583,1300,1,262802
Suzuki,Karachi,2015,11,127811,660,2.85,254411
Hyundai,Islamabad,2015,11,167987,1500,1.63,1334384
KIA,Multan,2018,8,54171,1500,5.7,2499521
Hyundai,Islamabad,2016,10,194122,1300,2.17,1162714
Honda,Lahore,2012,14,139372,1800,1.87,1831063
KIA,Sahiwal,2021,5,61092,1800,6.97,2806937
Honda,Karachi,2010,16,160435,1500,1.55,1302686
Suzuki,Faisalabad,2012,14,184942,1000,1,250000
Suzuki,Islamabad,2012,14,175670,660,1,250000
KIA,Karachi,2021,5,54487,1800,6.42,2873237
KIA,Sahiwal,2011,15,217695,1300,1,926770
Changan,Lahore,2020,6,73428,1500,4.3,1619761
Hyundai,Islamabad,2017,9,127192,1800,1.94,1910675
Changan,Multan,2015,11,111841,1800,3.6,1406032
Hyundai,Karachi,2015,11,121470,1500,4.01,1537148
Changan,Multan,2014,12,204731,1300,1.3,250000
Honda,Karachi,2015,11,163625,1300,1.42,1533365
KIA,Karachi,2021,5,57262,1800,8.02,2994495
Suzuki,Sahiwal,2013,13,145028,1000,1,250000
Hyundai,Sahiwal,2008,18,222375,1800,1,340626
Hyundai,Sahiwal,2022,4,43915,1500,6.62,2723274
Suzuki,Faisalabad,2008,18,240386,660,1,250000
Changan,Karachi,2024,2,19980,1500,9.31,2962887
Hyundai,Islamabad,2008,18,249330,1300,1,366093
Honda,Multan,2022,4,32273,1500,8.97,3539137
KIA,Sahiwal,2009,17,274074,1800,1,284001
Suzuki,Sahiwal,2021,5,41830,660,7.31,1701736
KIA,Multan,2015,11,128772,1800,3.86,2074090
Hyundai,Multan,2015,11,160346,1800,1.51,1410064
Hyundai,Karachi,2014,12,141932,1300,3.1,1388630
Suzuki,Sahiwal,2013,13,168334,660,2.55,250000
Honda,Multan,2013,13,202326,1800,1,1149974
Toyota,Faisalabad,2010,16,213638,1800,1,1507933
Suzuki,Faisalabad,2014,12,149954,1300,1,250000
Toyota,Sahiwal,2015,11,84559,1800,4.35,2549667
Changan,Multan,2017,9,89100,1300,3.64,1236441
Toyota,Karachi,2022,4,56293,1300,7.95,3380402
Honda,Karachi,2022,4,57452,1800,7.85,3167857
Changan,Karachi,2008,18,249446,1500,1,250000
Toyota,Lahore,2014,12,164647,1500,2.82,2068634
Changan,Sahiwal,2011,15,232809,1300,1,250000
Toyota,Karachi,2013,13,144871,1800,1,2125131
Honda,Faisalabad,2008,18,224719,1800,1,820868
Toyota,Multan,2012,14,130064,1300,1.8,1932822
Toyota,Islamabad,2008,18,160187,1500,1,1349254
Toyota,Islamabad,2011,15,115131,1500,1,1901847
Suzuki,Karachi,2009,17,161827,1000,1.75,250000
Suzuki,Islamabad,2017,9,143392,660,3.69,637554
Suzuki,Islamabad,2012,14,104229,1000,1.84,250000
Honda,Lahore,2017,9,99689,1300,4.94,2220872
Changan,Faisalabad,2008,18,149777,1300,1,413146
Hyundai,Faisalabad,2013,13,140365,1800,2.03,1429533
Toyota,Lahore,2020,6,79796,1500,4.49,3137607
Toyota,Lahore,2022,4,36679,1300,7.45,3703444
Honda,Islamabad,2011,15,223004,1500,1,770925
Toyota,Sahiwal,2020,6,99505,1500,5.81,2836287
Suzuki,Multan,2022,4,30021,1300,7.72,1892108
Hyundai,Multan,2015,11,114290,1500,4.34,1612332
KIA,Islamabad,2012,14,173741,1800,1.35,1280224
Toyota,Multan,2022,4,56015,1300,7.85,3580854
Suzuki,Lahore,2011,15,163381,1000,1,250000
KIA,Faisalabad,2019,7,81316,1300,5.11,2598218
Hyundai,Multan,2020,6,50980,1500,5.27,2465601
KIA,Islamabad,2009,17,139036,1300,1,1009536
Suzuki,Sahiwal,2011,15,235940,1000,1,250000
Changan,Islamabad,2011,15,117415,1500,1.65,509080
Changan,Karachi,2018,8,143898,1500,3.96,1038344
KIA,Islamabad,2012,14,196590,1500,1.07,1303076
Honda,Lahore,2018,8,112866,1500,4.68,2441466
KIA,Faisalabad,2017,9,134386,1500,3.87,1954722
Toyota,Faisalabad,2015,11,116001,1500,2.16,2423181
Toyota,Multan,2013,13,165303,1500,1.06,1910618
Changan,Lahore,2013,13,157231,1500,2.9,820458
Honda,Karachi,2015,11,145449,1300,2.6,1719626
Suzuki,Lahore,2022,4,52092,1300,8.82,1930459
Toyota,Islamabad,2021,5,49271,1500,6.44,3325289
Changan,Lahore,2018,8,89115,1800,5.16,1663161
Hyundai,Lahore,2019,7,61210,1500,5.71,2489796
Changan,Karachi,2020,6,92673,1500,6.06,1819409
Toyota,Islamabad,2015,11,123768,1300,3.77,2324812
Toyota,Sahiwal,2008,18,124883,1300,1.06,1683371
Changan,Sahiwal,2022,4,55883,1800,8.04,2276612
Suzuki,Faisalabad,2015,11,168822,660,1.92,250000
KIA,Multan,2018,8,111612,1300,4.26,2056780
Toyota,Lahore,2019,7,72159,1800,4.34,3588738
Changan,Faisalabad,2019,7,44217,1300,6.96,1835982
Changan,Karachi,2011,15,177086,1500,1,250000
Honda,Sahiwal,2023,3,35523,1800,8.01,3709566
KIA,Lahore,2011,15,151050,1800,1,1259278
Hyundai,Karachi,2012,14,190342,1500,1,1020405
Suzuki,Multan,2012,14,244086,660,1,250000
Hyundai,Karachi,2015,11,138648,1800,2.26,1548089
KIA,Lahore,2017,9,111083,1800,4.26,2121172
KIA,Multan,2024,2,18392,1500,9.23,3410423
KIA,Karachi,2016,10,152737,1500,2.07,1657332
Hyundai,Multan,2021,5,48022,1300,6.73,2694863
KIA,Lahore,2015,11,114978,1800,3.11,1859827
Changan,Lahore,2016,10,111253,1300,3.72,1154999
Hyundai,Multan,2018,8,107699,1300,4.4,1835885
KIA,Islamabad,2008,18,216064,1500,1,686999
Changan,Faisalabad,2021,5,70605,1800,5.16,2214992
Honda,Karachi,2012,14,178092,1800,1,1345800
KIA,Karachi,2021,5,55426,1800,7.02,2924186
Hyundai,Islamabad,2011,15,195079,1500,1,796213
Toyota,Islamabad,2008,18,243906,1500,1,1096369
KIA,Islamabad,2015,11,93462,1500,4.75,2312199
Toyota,Sahiwal,2022,4,61895,1500,7.24,3297804
Changan,Sahiwal,2022,4,58645,1500,6.28,2340125
Honda,Multan,2016,10,115004,1800,4.47,2319488
Suzuki,Sahiwal,2016,10,137882,660,3.21,392863
Honda,Lahore,2017,9,120915,1800,2.64,2385717
KIA,Multan,2016,10,101508,1300,2.84,1922551
Toyota,Karachi,2010,16,219685,1500,1,1396395
Toyota,Faisalabad,2018,8,86134,1300,6.13,3111890
Hyundai,Lahore,2013,13,215654,1800,1,1135270
Toyota,Karachi,2009,17,157991,1800,1,1325469
Hyundai,Karachi,2014,12,151092,1300,2.94,1286418
Changan,Multan,2009,17,176145,1500,1,250000
Suzuki,Islamabad,2024,2,33118,1000,9.03,1967842
KIA,Islamabad,2018,8,67979,1800,5.45,2270539
Hyundai,Lahore,2019,7,86288,1300,5.92,2346469
Suzuki,Islamabad,2014,12,112663,1000,2.99,496444
Toyota,Karachi,2013,13,148648,1500,1.38,1878569
Toyota,Islamabad,2008,18,235502,1800,1,928317
Suzuki,Sahiwal,2024,2,33983,1000,8.61,2107689
Toyota,Islamabad,2018,8,136125,1300,4.32,2374291
Changan,Karachi,2024,2,20921,1800,8.9,2628669
Changan,Multan,2014,12,149321,1800,1.68,650829
Suzuki,Lahore,2024,2,32022,660,9.79,1986740
Hyundai,Faisalabad,2016,10,74793,1800,4.91,2100459
Hyundai,Islamabad,2024,2,22030,1500,8.47,3218789
Suzuki,Karachi,2015,11,133657,1000,3.83,539580
Hyundai,Faisalabad,2024,2,21911,1300,7.7,3330849
Hyundai,Faisalabad,2014,12,109785,1500,4.84,1922637
Changan,Sahiwal,2008,18,146956,1300,1,250000
Hyundai,Faisalabad,2020,6,41769,1300,5.84,2685179
Honda,Multan,2024,2,36489,1500,9.91,3675895
KIA,Karachi,2020,6,86106,1300,5.38,2297308
Toyota,Karachi,2023,3,40830,1500,8.12,3704521
Honda,Islamabad,2015,11,116469,1800,3.81,2148916
Hyundai,Islamabad,2008,18,149095,1800,1,788808
Changan,Islamabad,2021,5,72827,1300,6.67,1963661
Suzuki,Multan,2022,4,42873,1000,7.01,1730252
Hyundai,Faisalabad,2009,17,165100,1500,1,621452
Changan,Faisalabad,2024,2,22101,1800,8.41,2741222
KIA,Sahiwal,2013,13,153375,1800,1.81,1426487
